prob,t,n_it,f_opt,g_norm,fevals,gevals,tf,tg,to
ARWHEAD,0.003273963928222656,7,0.0,9.911925717978595e-07,15,8,0.0011794567108154295,0.0015506744384765625,0
BDQRTIC,0.08328819274902344,136,20006.256878432745,9.841034863246618e-07,273,237,0.019186019897460938,0.05840253829956055,0
BOX,0.018069028854370117,8,-1864.5379265641543,1.6687486481536948e-07,25,19,0.005799531936645508,0.011001348495483398,0
BOXPOWER,0.02458429336547852,29,6.125312743842404e-13,1.6848604209409065e-07,60,31,0.008632659912109375,0.011836528778076172,0
BROYDN3DLS,0.01037740707397461,32,8.612928681408658e-14,8.670540678854559e-07,65,33,0.003323554992675781,0.005159139633178711,0
BROYDN7D,1.0488879680633545,1400,2006.3614619154846,7.770175309840255e-07,2788,1418,0.4055335521697998,0.6034231185913086,0
BROYDNBDLS,0.04584002494812012,85,2.5588897904288432e-14,4.970063688210634e-07,174,90,0.015163660049438475,0.026525020599365238,0
BRYBND,0.05090928077697754,85,2.5588897904288432e-14,4.970063688210634e-07,174,90,0.016890287399291992,0.02932500839233398,0
CHAINWOO,0.1414949893951416,318,4.572767194587478,8.524862299186253e-07,619,373,0.04796552658081055,0.08085751533508301,0
COSINE,0.02312850952148437,11,-9999.0,2.0742716978414832e-07,39,32,0.006254911422729492,0.015207529067993162,0
CRAGGLVY,0.08239030838012695,103,1688.21530971478,9.313990653159708e-07,196,148,0.0260317325592041,0.05112361907958984,0
CURLY10,32.29590678215027,47808,-1003162.902413188,9.946150348050242e-07,67294,76156,7.2809672355651855,23.295780420303345,0
CURLY20,63.98500156402588,66587,-1003162.902413188,9.82412064004512e-07,89245,110540,13.605201721191404,47.85390377044678,0
CURLY30,96.5640947818756,79030,-1003162.902413188,8.936655428726238e-07,102516,134682,20.028879880905148,73.6766517162323,0
DIXMAANA1,0.0021562576293945312,7,1.0,4.8314863835250974e-12,15,8,0.000690460205078125,0.001034259796142578,0
DIXMAANB,0.001764059066772461,6,1.0000000000000029,8.977474625811291e-08,13,7,0.0005679130554199219,0.0008509159088134767,0
DIXMAANC,0.0018308162689208984,6,1.0000000000011149,7.033271550018109e-07,13,7,0.0005779266357421875,0.0008785724639892577,0
DIXMAAND,0.0022492408752441406,7,1.000000000000346,7.356046328843986e-07,15,8,0.0007369518280029298,0.0010983943939208984,0
DIXMAANE1,0.04746270179748535,222,1.0000000007493342,9.840370212270569e-07,239,429,0.006792306900024414,0.0361020565032959,0
DIXMAANF,0.036417245864868164,161,1.000000000741693,8.856351045141158e-07,323,162,0.013733148574829102,0.019737958908081055,0
DIXMAANG,0.0363459587097168,157,1.000000001026763,9.442232079206379e-07,315,158,0.013679265975952148,0.019572973251342773,0
DIXMAANH,0.04295802116394043,173,1.000000000820485,9.920421586896231e-07,347,174,0.0162200927734375,0.023221254348754883,0
DIXMAANI1,0.78562331199646,3856,1.000000062979581,9.681986158297957e-07,3926,7644,0.10953021049499513,0.6263546943664551,0
DIXMAANJ,0.07367110252380371,327,1.0000001909891998,9.865948485251288e-07,655,328,0.028050899505615238,0.04029989242553711,0
DIXMAANK,0.06337809562683105,283,1.0000001778332648,9.462915378373228e-07,567,284,0.02426457405090332,0.034424543380737305,0
DIXMAANL,0.054126501083374016,237,1.000000172872512,9.671343301950285e-07,475,238,0.020506858825683597,0.029164552688598636,0
DIXMAANM1,0.8442597389221191,4131,1.0000000988753086,9.672916630025214e-07,4186,8209,0.1167597770690918,0.6744017601013184,0
DIXMAANN,0.15568828582763672,698,1.0000003279501788,9.98540514874059e-07,1397,699,0.05958867073059083,0.0854940414428711,0
DIXMAANO,0.1507866382598877,638,1.0000003252325167,9.935549481807098e-07,1279,642,0.056668758392333984,0.08283233642578125,0
DIXMAANP,0.16011643409729004,686,1.000000294739858,9.97100960808074e-07,1373,687,0.060694456100463874,0.08766889572143555,0
DIXON3DQ,4.219594717025757,10000,2.913886753009799e-13,6.6642082963142e-08,10007,19995,0.5886940956115723,3.2494945526123047,0
DQDRTIC,0.0023484230041503906,5,3.4808873846468325e-17,1.9948461632557368e-08,11,6,0.0007996559143066406,0.0010726451873779297,0
DQRTIC,0.004509687423706055,17,2.759083856068448e-06,7.051422013361323e-07,37,21,0.0013790130615234375,0.0019156932830810547,0
EDENSCH,0.0071642398834228516,26,12003.284592020762,7.012497760250369e-07,52,38,0.00209808349609375,0.00432276725769043,0
EG2,0.0005552768707275392,5,-998.9473933009447,1.2434972558743905e-08,11,6,0.00015616416931152344,0.00023245811462402344,0
EIGENALS,35.622170448303216,10083,3.261178325017751e-10,7.589278946378589e-07,18020,12244,9.808767080307009,25.6620671749115,0
EIGENBLS,48.012709856033325,15301,1.9157913969219793e-06,4.99166468766805e-07,30603,15302,16.619311571121216,31.183019399642944,0
EIGENCLS,36.20213317871094,10136,2.3663516454865985e-11,9.994624414127195e-07,19292,11118,11.126511573791504,24.919848680496216,0
ENGVAL1,0.013538122177124023,27,5548.668419415856,9.327640164494431e-07,50,36,0.0040740966796875,0.007877349853515625,0
EXTROSNB,0.22211885452270508,3808,3.070168798001352e-07,9.054991007687626e-07,7759,3982,0.0738828182220459,0.11826658248901367,0
FLETBV3M,0.01746654510498047,19,-250564.6337294236,2.1370164728085058e-08,42,26,0.006627321243286133,0.00955820083618164,0
FLETCBV2,0.0007541179656982423,0,-0.5002681698025546,7.996001439813359e-08,1,1,0.00010275840759277344,0.00025272369384765625,0
FLETCHCR,0.01463198661804199,152,7.129074843897096e-15,5.832872564311346e-07,290,176,0.004810810089111328,0.008204221725463867,0
FMINSRF2,0.15044164657592773,346,1.0000240804416805,9.441210285633282e-07,693,347,0.049138545989990234,0.08995676040649414,0
FMINSURF,0.207061767578125,473,1.0000000002277527,9.770115132080034e-07,947,474,0.06827712059020996,0.12360596656799315,0
FREUROTH,0.017893552780151367,25,608159.1890462547,3.3332557691778675e-07,51,38,0.005132675170898438,0.011292695999145508,0
GENHUMPS,5.123312473297119,6421,1.1634127342321603e-12,4.745043609488971e-07,12857,6440,2.3476274013519287,2.6445071697235107,0
JIMACK,1060.1670649051666,8318,0.8667932983081788,9.739403804129223e-07,16637,8319,529.5022761821747,530.4114630222319,0
KSSLS,0.08047318458557129,10,1.8790375658243738e-15,2.8643156506453985e-07,25,16,0.013017892837524414,0.06318998336791992,0
LIARWHD,0.00843191146850586,21,1.28412721854778e-18,2.209090452787116e-07,45,25,0.002935409545898437,0.004709243774414063,0
MOREBV,0.0005335807800292969,0,1.039739759079886e-11,1.5993596166132203e-07,1,1,6.413459777832031e-05,0.0001628398895263672,0
MSQRTALS,2.234374046325684,2905,6.994466657630922e-10,7.842982686396739e-07,5815,2911,0.7017719745635986,1.5089583396911619,0
MSQRTBLS,1.6176419258117676,2280,3.091895351894323e-10,9.846071515088134e-07,4525,2326,0.5363276004791261,1.0635662078857422,0
NCB20,2.918538808822632,879,-1118.389027732392,8.113765364581305e-07,1511,1463,0.8585400581359863,2.020790100097656,0
NCB20B,10.511383771896364,2935,7351.300593473725,9.982756546678127e-07,4694,6006,2.5357937812805176,7.857939004898071,0
NONCVXU2,3.2447729110717773,7222,11585.916083783477,9.796246520643592e-07,13395,8273,1.0645117759704592,2.0461804866790767,0
NONDIA,0.004896163940429688,7,3.955474796522989e-25,8.885407964953629e-10,25,20,0.0013053417205810547,0.003019094467163086,0
NONDQUAR,0.3651297092437744,1942,4.6772701725893485e-06,9.851043604073998e-07,3888,1947,0.12836384773254395,0.17681884765625,0
PENALTY1,0.0038073062896728524,28,0.009686175686910044,4.1081942694148004e-07,69,44,0.0011796951293945312,0.002104520797729492,0
POWELLSG,0.004943132400512695,26,8.66247596682493e-12,1.201867434508332e-07,53,27,0.001756906509399414,0.0023636817932128906,0
POWER,0.10408806800842284,372,1.898430037921467e-09,9.872504632884688e-07,754,384,0.030133962631225582,0.04981851577758789,0
QUARTC,0.004010915756225586,17,2.759083856068448e-06,7.051422013361323e-07,37,21,0.0012507438659667967,0.001758098602294922,0
SCHMVETT,0.04194092750549317,43,-14994.0,6.434704162531504e-07,73,60,0.01172804832458496,0.027010202407836914,0
SINQUAD,0.012609004974365234,14,-6757013.757335485,5.152514859219082e-09,40,33,0.0036382675170898438,0.008141517639160156,0
SINQUAD2,0.09203124046325684,134,2.298061572091491e-06,3.1371333459668176e-07,332,213,0.0296478271484375,0.05827569961547852,0
SPARSINE,17.902810096740726,26596,1.4447451861740818e-10,9.997025953286271e-07,26885,52907,1.771229267120361,15.535192489624025,0
SPARSQUR,0.02928495407104492,28,9.719956366027808e-10,1.157276834141104e-07,61,35,0.006732940673828125,0.019248247146606445,0
SPINLS,0.33400583267211914,1160,1.4347450603832338e-07,8.385124969028034e-07,2203,1532,0.0811161994934082,0.2415938377380371,0
SPMSRTLS,0.10914754867553712,203,2.957213741238154e-11,9.863194538489152e-07,412,210,0.03978252410888672,0.06195688247680664,0
SROSENBR,0.01404404640197754,60,9.834182957886265e-20,1.8982166949510904e-09,129,70,0.004635810852050781,0.007604837417602539,0
SSBRYBND,5.6229121685028085,9343,6.544892904150384e-15,9.372992388705324e-07,15776,12272,1.5392425060272217,3.874976396560669,0
SSCOSINE,34.061624765396125,73727,-4998.492398306358,9.551761973133206e-07,123813,104757,9.532912254333496,23.227973222732547,0
TOINTGSS,0.002767801284790039,4,10.002000799679818,2.2872518716171145e-07,9,5,0.0009267330169677734,0.0012896060943603516,0
TQUARTIC,0.006134748458862305,14,2.755831338202371e-26,4.429212552281621e-11,40,27,0.0017490386962890625,0.003720998764038086,0
TRIDIA,0.17756986618041992,782,4.150040620779912e-15,9.302120356742141e-07,789,1559,0.023429393768310547,0.1275010108947754,0
VAREIGVL,0.12505531311035156,207,3.1262813724936263e-10,8.44255055360019e-07,415,208,0.04234218597412109,0.07500004768371582,0
WOODS,0.006269454956054688,22,1.555387689408418e-15,3.140420546050843e-08,51,30,0.00208282470703125,0.0034325122833251953,0
