prob,t,n_it,f_opt,g_norm,fevals,gevals
ARWHEAD,0.0026920000000000004,7,0.0,9.909525500000002e-07,15,8
BDQRTIC,0.065121,141,20006.256999999998,8.1692461e-07,291,279
BOX,0.009594,8,-1864.5379,4.4871147e-09,25,18
BOXPOWER,0.023597,23,3.1215813e-09,4.1336708e-07,60,37
BROYDN3DLS,0.009198999999999999,32,8.612928699999999e-14,8.6705409e-07,65,33
BROYDN7D,0.65291,1411,1996.9158,9.972902299999999e-07,2816,1431
BROYDNBDLS,0.020949000000000002,34,8.845079e-14,3.1155129e-07,73,39
BRYBND,0.020277,34,8.845079e-14,3.1155129e-07,73,39
CHAINWOO,0.08228099999999999,243,4.5727671999999995,9.604129e-07,466,295
COSINE,0.019181999999999998,11,-9999.0,1.6167427e-07,37,31
CRAGGLVY,0.062480999999999995,108,1688.2153,7.910935000000001e-07,204,148
CURLY10,20.08911,47196,-1003162.9,9.9461349e-07,66673,74934
CURLY20,43.766833,68046,-1003162.9,9.8975832e-07,90969,113208
CURLY30,66.35829100000001,77071,-1003162.9,9.7450675e-07,100490,130852
DIXMAANA1,0.001104,7,1.0,4.8318205999999994e-12,15,8
DIXMAANB,0.001126,6,1.0,8.977474699999998e-08,13,7
DIXMAANC,0.001165,6,1.0,7.033271600000001e-07,13,7
DIXMAAND,0.001294,7,1.0,7.3560463e-07,15,8
DIXMAANE1,0.040789,222,1.0,9.8403702e-07,239,429
DIXMAANF,0.025042,161,1.0,8.856354100000001e-07,323,162
DIXMAANG,0.024515000000000002,157,1.0,9.442235399999999e-07,315,158
DIXMAANH,0.027014,173,1.0,9.920422e-07,347,174
DIXMAANI1,0.41003500000000004,3786,1.0000001,9.379664900000001e-07,3856,7504
DIXMAANJ,0.049806,327,1.0000002000000001,9.8657679e-07,655,328
DIXMAANK,0.043447,283,1.0000002000000001,9.4637664e-07,567,284
DIXMAANL,0.036917,237,1.0000002000000001,9.6692915e-07,475,238
DIXMAANM1,0.449984,4332,1.0000001,9.6975454e-07,4387,8611
DIXMAANN,0.099486,698,1.0000003,9.985450300000001e-07,1397,699
DIXMAANO,0.092865,629,1.0000003,9.842968499999998e-07,1262,633
DIXMAANP,0.09749400000000001,686,1.0000003,9.971195899999999e-07,1373,687
DIXON3DQ,0.483439,10000,-1.7763568e-15,2.2174501e-11,0,10003
DQDRTIC,0.00037,5,4.9737992e-14,4.239098e-11,0,7
DQRTIC,0.004695,21,7.328160300000001e-08,4.9243335e-07,51,30
EDENSCH,0.0065439999999999995,28,12003.285,9.5279061e-07,56,40
EG2,0.000493,5,-998.94739,1.2434528999999999e-08,11,6
EIGENALS,16.626582,9838,1.3726356e-10,9.7918146e-07,17917,11610
EIGENBLS,32.8013,21793,3.5653865e-09,9.6810915e-07,43587,21794
EIGENCLS,17.80118,10063,2.9002475e-11,8.615298e-07,19269,10922
ENGVAL1,0.009937,23,5548.6684,7.4101799e-07,43,32
EXTROSNB,0.132653,3202,4.395115999999999e-07,9.816833699999999e-07,6561,3359
FLETBV3M,0.023625999999999998,29,-248589.79,6.772865300000001e-07,63,37
FLETCBV2,0.000576,0,-0.50026817,7.996001400000001e-08,1,1
FLETCHCR,0.019625,284,1.1414149e-14,8.3257971e-07,558,308
FMINSRF2,0.106572,346,1.0000241,9.441216899999999e-07,693,347
FMINSURF,0.144975,473,1.0,9.770038000000002e-07,947,474
FREUROTH,0.01575,23,608159.19,8.9691435e-07,54,40
GENHUMPS,0.361119,1175,3.3137453999999996e-14,6.846526400000002e-08,2435,1261
JIMACK,136.851913,8307,0.8667933000000001,9.7595381e-07,16615,8308
KSSLS,0.077328,10,1.8745614e-15,1.0354661e-08,26,16
LIARWHD,0.00734,19,4.2038521e-27,4.4233506e-12,42,23
MOREBV,0.00034700000000000003,0,1.0397398e-11,1.5993595999999997e-07,1,1
MSQRTALS,1.025674,2927,6.6252835e-10,9.80785e-07,5857,2931
MSQRTBLS,1.002736,2196,2.3690042000000004e-10,8.9062129e-07,4247,2348
NCB20,5.359292,5397,-1117.4683,6.881506500000001e-07,10148,7002
NCB20B,4.199014,3036,7351.3006,8.0105705e-07,4795,6298
NONCVXU2,1.739471,7059,11585.795,9.4274731e-07,13244,7935
NONDIA,0.004227000000000001,6,1.0989097999999999e-20,1.0090968e-07,25,19
NONDQUAR,0.285125,2378,1.7811497e-06,7.898481700000001e-07,4761,2383
PENALTY1,0.0017050000000000001,23,0.0096861805,6.4943218e-07,61,38
POWELLSG,0.004195,26,8.6643645e-12,1.2018763999999998e-07,53,27
POWER,0.07845,375,1.7626614e-09,9.396363700000001e-07,754,379
QUARTC,0.00468,21,7.328160300000001e-08,4.9243335e-07,51,30
SCHMVETT,0.032287,43,-14994.0,6.4347042e-07,73,60
SINQUAD,0.007334,15,-6757013.8,1.4465263e-07,42,29
SINQUAD2,0.052038,114,1.1136266e-05,1.6399881e-07,282,168
SPARSINE,12.646353,26655,1.4355925e-10,9.7690879e-07,26944,53025
SPARSQUR,0.031289,28,4.5105214000000003e-10,7.0213734e-08,64,36
SPINLS,0.538089,2658,1.7141696e-06,0.27731792,4249,5335
SPMSRTLS,0.08271,210,3.2900794e-11,9.7769785e-07,418,219
SROSENBR,0.012546,60,4.3927204000000007e-14,4.1505963e-07,133,73
SSBRYBND,3.416171,9393,4.7319101e-15,8.6715767e-07,15612,12617
SSCOSINE,19.229059,74702,-4997.1941,9.7543118e-07,127674,106742
TOINTGSS,0.001557,4,10.002001,2.2872519e-07,9,5
TQUARTIC,0.005004,14,4.0368855999999996e-21,9.9379174e-09,38,24
TRIDIA,0.040299,781,0.0,9.5392544e-07,0,787
VAREIGVL,0.090351,207,3.1262813999999997e-10,8.442550599999999e-07,415,208
WOODS,0.005811,24,3.3448974e-13,5.3658112e-07,54,30
